Date,BOLSAA_Price,Bovespa_Brazil_50_Price,CAD_USD_Price,Canada_10Y_BY_Price,Canada_30Y_BY_Price,EUR_USD_Price,Euro_Stoxx_50_Price,JPY_USD_Price,Nikkei_225_Price,Shanghai_Shenzhen_CSI_300_Price,SnP_TSX_Composite_Price,SnP_500_Price,US_10Y_BY_Price,US_30Y_BY.csv_Price,Holiday,weekend,month,quarter
22-05-18,31.68,13880.49,0.7803,2.516,2.501,1.1788,3587.25,0.00903,22960.34,3906.21,16144.79,2724.44,3.063,3.207,FALSE,FALSE,May,Q2
21-05-18,32.06,13742.45,0.7827,2.516,2.501,1.179,3572.57,0.00901,23002.37,3921.24,16144.79,2733.01,3.058,3.201,FALSE,FALSE,May,Q2
18-05-18,32.17,13964.08,0.7763,2.486,2.496,1.1778,3573.76,0.00903,22930.36,3903.06,16162.31,2712.97,3.06,3.202,FALSE,FALSE,May,Q2
17-05-18,32.88,14056.13,0.7809,2.52,2.528,1.1795,3592.18,0.00902,22838.37,3864.05,16143.55,2720.13,3.115,3.25,FALSE,FALSE,May,Q2
16-05-18,32.8,14550.31,0.7821,2.501,2.512,1.1807,3562.85,0.00906,22717.23,3892.84,16108.06,2722.46,3.104,3.223,FALSE,FALSE,May,Q2
15-05-18,32.89,14315.87,0.7768,2.484,2.514,1.1838,3564.29,0.00907,22818.02,3924.1,16097.81,2711.45,3.072,3.198,FALSE,FALSE,May,Q2
14-05-18,33.17,14327.45,0.7805,2.425,2.458,1.1927,3565.74,0.00911,22865.86,3909.29,16085.61,2730.13,3.002,3.132,FALSE,FALSE,May,Q2
11-05-18,33.26,14299.33,0.7817,2.378,2.406,1.1944,3565.52,0.00914,22758.48,3872.84,15983.32,2727.72,2.97,3.102,FALSE,FALSE,May,Q2
10-05-18,34.25,14405.58,0.7833,2.396,2.431,1.1915,3569.71,0.00914,22497.18,3893.06,15959.5,2723.07,2.964,3.109,FALSE,FALSE,May,Q2
09-05-18,32.82,14140.07,0.778,2.394,2.447,1.185,3569.74,0.0091,22408.88,3871.62,15910.81,2697.79,3.006,3.163,FALSE,FALSE,May,Q2
08-05-18,33.8,13898.01,0.7722,2.353,2.422,1.1864,3557.88,0.00917,22508.69,3878.68,15842.71,2671.92,2.972,3.128,FALSE,FALSE,May,Q2
07-05-18,34.66,13851.75,0.7763,2.327,2.411,1.1922,3564.19,0.00918,22467.16,3834.19,15808.63,2672.63,2.952,3.123,FALSE,FALSE,May,Q2
04-05-18,35.1,13905.08,0.7784,2.328,2.407,1.196,3550.59,0.00917,22467.16,3774.6,15729.4,2663.42,2.951,3.123,FALSE,FALSE,May,Q2
03-05-18,35.51,13937.66,0.7784,2.325,2.404,1.1988,3529.12,0.00917,22467.16,3793,15621.47,2629.73,2.948,3.123,FALSE,FALSE,May,Q2
02-05-18,36.87,14152.64,0.7762,2.363,2.431,1.1951,3553.79,0.0091,22472.78,3763.65,15627.93,2635.67,2.976,3.151,FALSE,FALSE,May,Q2
01-05-18,36.87,14152.64,0.7783,2.341,2.409,1.1993,3536.26,0.0091,22508.03,3763.65,15618.93,2654.8,2.968,3.13,FALSE,FALSE,May,Q2
30-04-18,36.08,14420.63,0.7786,2.307,2.402,1.2079,3536.52,0.00915,22508.03,3763.65,15607.88,2648.05,2.955,3.124,FALSE,FALSE,Apr,Q2
27-04-18,35.69,14475.36,0.7795,2.321,2.413,1.213,3518.78,0.00917,22467.87,3756.88,15668.93,2669.91,2.959,3.127,FALSE,FALSE,Apr,Q2
26-04-18,35.17,14467.45,0.7772,2.351,2.442,1.2103,3506.03,0.00915,22319.61,3755.49,15637.59,2666.94,2.983,3.163,FALSE,FALSE,Apr,Q2
25-04-18,36.67,14250.71,0.7786,2.372,2.475,1.2161,3485.83,0.00914,22215.32,3828.7,15509.75,2639.4,3.031,3.212,FALSE,FALSE,Apr,Q2
24-04-18,37.33,14318.89,0.7792,2.355,2.451,1.2232,3510.88,0.00919,22278.12,3843.49,15477,2634.56,2.999,3.183,FALSE,FALSE,Apr,Q2
23-04-18,37.27,14343.83,0.7782,2.355,2.442,1.2209,3513.06,0.00919,22088.04,3766.33,15552.06,2670.29,2.977,3.144,FALSE,FALSE,Apr,Q2
20-04-18,37,14331.05,0.7837,2.339,2.447,1.2288,3494.2,0.00929,22162.24,3760.85,15484.32,2670.14,2.96,3.147,FALSE,FALSE,Apr,Q2
19-04-18,36.7,14381.88,0.7892,2.32,2.426,1.2346,3486.6,0.00931,22191.18,3811.84,15454.42,2693.13,2.913,3.102,FALSE,FALSE,Apr,Q2
18-04-18,37.42,14378.63,0.7918,2.286,2.389,1.2373,3490.89,0.00931,22158.2,3766.28,15529.97,2708.64,2.875,3.061,FALSE,FALSE,Apr,Q2
17-04-18,37.61,14083.47,0.797,2.25,2.348,1.237,3477.91,0.00934,21847.59,3748.64,15353.3,2706.39,2.83,3.017,FALSE,FALSE,Apr,Q2
16-04-18,37.63,13878.78,0.7958,2.274,2.374,1.238,3441.04,0.00934,21835.53,3808.86,15300.38,2677.84,2.829,3.025,FALSE,FALSE,Apr,Q2
13-04-18,37.62,14131.57,0.7928,2.24,2.35,1.2331,3448,0.00931,21778.74,3871.14,15273.97,2656.3,2.825,3.027,FALSE,FALSE,Apr,Q2
12-04-18,35.77,14321.5,0.7946,2.285,2.394,1.2327,3443.97,0.00933,21660.28,3898.64,15269.27,2663.99,2.843,3.046,FALSE,FALSE,Apr,Q2
11-04-18,35.68,14299.25,0.7949,2.202,2.322,1.2367,3419.71,0.00936,21687.1,3938.34,15257.9,2642.19,2.779,2.994,FALSE,FALSE,Apr,Q2
10-04-18,35.78,14172.51,0.7934,2.184,2.317,1.2356,3438.78,0.00934,21794.32,3927.17,15262.14,2656.87,2.801,3.02,FALSE,FALSE,Apr,Q2
09-04-18,36.63,13979.18,0.7875,2.141,2.294,1.2321,3414.85,0.00937,21678.26,3852.93,15227.7,2613.16,2.781,3.014,FALSE,FALSE,Apr,Q2
06-04-18,36.17,14239.51,0.7823,2.144,2.307,1.2283,3408.1,0.00935,21567.52,3852.93,15207.41,2604.47,2.775,3.019,FALSE,FALSE,Apr,Q2
